x,y
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,1
15,1
16,1
17,2
18,3
19,6
20,6
21,7
22,10
23,14
24,16
25,22
26,25
27,33
28,40
29,41
30,47
31,69
32,97
33,126
34,172
35,218
36,220
37,222
38,296
39,366
40,447
41,495
42,542
43,566
44,575
45,615
46,699
47,779
48,837
49,893
50,903
51,915
52,985
53,1062
54,1120
55,1184
56,1231
57,1249
58,1262
59,1332
60,1415
61,1475
62,1515
63,1559
64,1571
65,1576
66,1620
67,1703
68,1762
69,1811
70,1847
71,1857
72,1862
73,1912
74,1973
75,2007
76,2053
77,2094
78,2103
79,2105
80,2134
81,2184
82,2221
83,2245
84,2261
85,2270
86,2273
87,2291
88,2304
89,2316
90,2331
91,2353
92,2362
93,2363
94,2375
95,2386
96,2395
97,2409
98,2415
99,2415
100,2415
